ID,Stimulus,Estimated,Error,Response Time
P8,3,3,0,1.481758356
P8,4,5,1,1.207203865
P8,3,4,1,1.363200188
P8,2,2,0,1.438417912
P8,2,3,1,4.437803268
P8,5,5,0,1.235691071
P8,4,4,0,1.216146708
P8,2,3,1,1.179754496
P8,3,4,1,1.306188107
P8,1,1,0,1.794635534
P8,5,5,0,1.572669268
P8,5,5,0,1.345730066
P8,3,4,1,1.38159585
P8,4,5,1,1.45396018
P8,5,5,0,1.244668722
